Comment,Designator,Footprint,LCSC
5.1K,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
CNTRL_OUT,J3,CONN_1862042,
DRV8243SQRXYRQ1,U1,RXY0014A-MFG,
MOTOR,J5,CONN_1862042,
100uF,C2,C_Elec_8x10.2,
CNTRL_IN,J2,1862068,
POWER,J1,CONN_1862042,
MountingHole,H2,MountingHole_3.2mm_M3_Pad_Via,
MountingHole,H3,MountingHole_3.2mm_M3_Pad_Via,
100nF,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
100nF,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
SPI,J4,1862068,
MountingHole,H1,MountingHole_3.2mm_M3_Pad_Via,
MountingHole,H4,MountingHole_3.2mm_M3_Pad_Via,
