Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,129.88,-102.33,-90.0,top
C2,100uF,C_Elec_8x10.2,138.62,-100.77,0.0,top
C3,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,133.64,-89.64,180.0,top
J1,POWER,CONN_1862042,103.786999,-82.209,180.0,top
J2,CNTRL_IN,1862068,117.4828,-82.2052,180.0,top
J3,CNTRL_OUT,CONN_1862042,133.581198,-82.1544,180.0,top
J4,SPI,1862068,147.994,-82.1944,180.0,top
J5,MOTOR,CONN_1862042,105.02,-96.827198,90.0,top
R1,5.1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,133.65,-92.25,180.0,top
U1,DRV8243SQRXYRQ1,RXY0014A-MFG,130.3794,-96.266,-90.0,top
