Designator,Footprint,Quantity,Value,LCSC Part #
"_138, _137, _136, _135, _134, _133, _132, _131, _130, _129, _128, _127, _126, _125, _124, _123, _122, _121, _120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105, _104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,138,,
"C1, C3",1206,2,100nF,
C2,C_Elec_8x10.2,1,100uF,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,CONN_1862042,1,POWER,
J2,1862068,1,CNTRL_IN,
J3,CONN_1862042,1,CNTRL_OUT,
J4,1862068,1,SPI,
J5,CONN_1862042,1,MOTOR,
R1,1206,1,5.1K,
U1,RXY0014A-MFG,1,DRV8243SQRXYRQ1,
